C:\Users\Ranit\Anaconda3\python.exe E:/StudyFIle/MLProject/CharSCNN-theano-1/charscnn.py
C:\Users\Ranit\Anaconda3\lib\site-packages\sklearn\cross_validation.py:44: DeprecationWarning: This module was deprecated in version 0.18 in favor of the model_selection module into which all the refactored classes and functions are moved. Also note that the interface of the new CV iterators are different from that of this module. This module will be removed in 0.20.
  "This module will be removed in 0.20.", DeprecationWarning)

counter#771  epoch: 1, test mean loss=0.44213297218387465, test accuracy=0.7970000000000005

counter#772  epoch: 1, test mean loss=0.4421231546585747, test accuracy=0.7985000000000007

counter#773  epoch: 1, test mean loss=0.44296146011473864, test accuracy=0.797

counter#774  epoch: 1, test mean loss=0.4434492630905209, test accuracy=0.7970000000000006

counter#775  epoch: 1, test mean loss=0.44111141252698494, test accuracy=0.7975000000000005

counter#776  epoch: 1, test mean loss=0.4404502900307437, test accuracy=0.7995000000000005

counter#777  epoch: 1, test mean loss=0.4427877667033842, test accuracy=0.7945000000000008

counter#778  epoch: 1, test mean loss=0.4407685169333487, test accuracy=0.7985000000000008

counter#779  epoch: 1, test mean loss=0.4401726407692017, test accuracy=0.8005000000000005

counter#780  epoch: 1, test mean loss=0.44358330668884194, test accuracy=0.7910000000000004

counter#781  epoch: 1, test mean loss=0.45386946938765355, test accuracy=0.7820000000000007

counter#782  epoch: 1, test mean loss=0.4637751960340981, test accuracy=0.7750000000000006

counter#783  epoch: 1, test mean loss=0.4506133804069839, test accuracy=0.7835000000000005

counter#784  epoch: 1, test mean loss=0.4513059860435037, test accuracy=0.7835000000000004

counter#785  epoch: 1, test mean loss=0.44606351307149367, test accuracy=0.7880000000000006

counter#786  epoch: 1, test mean loss=0.44554737049170545, test accuracy=0.7905000000000002

counter#787  epoch: 1, test mean loss=0.45574415142203284, test accuracy=0.7850000000000011

counter#788  epoch: 1, test mean loss=0.4504293482312364, test accuracy=0.7845000000000006

counter#789  epoch: 1, test mean loss=0.4432705493345391, test accuracy=0.7955000000000004

counter#790  epoch: 1, test mean loss=0.44039887620603596, test accuracy=0.8020000000000003

counter#791  epoch: 1, test mean loss=0.4403705178296512, test accuracy=0.8025000000000003

counter#792  epoch: 1, test mean loss=0.4440919830716101, test accuracy=0.7965000000000003

counter#793  epoch: 1, test mean loss=0.44303065944651254, test accuracy=0.8000000000000004

counter#794  epoch: 1, test mean loss=0.4434210008556122, test accuracy=0.7985000000000005

counter#795  epoch: 1, test mean loss=0.4403609298171905, test accuracy=0.7985000000000003

counter#796  epoch: 1, test mean loss=0.4427019497114705, test accuracy=0.8005000000000005

counter#797  epoch: 1, test mean loss=0.4417717982271341, test accuracy=0.7965000000000004

counter#798  epoch: 1, test mean loss=0.44378320683723516, test accuracy=0.798500000000001

counter#799  epoch: 1, test mean loss=0.4431714583672215, test accuracy=0.799000000000001

counter#800  epoch: 1, test mean loss=0.4449033070575081, test accuracy=0.8010000000000009

counter#801  epoch: 1, test mean loss=0.44712960973747157, test accuracy=0.7960000000000005

counter#802  epoch: 1, test mean loss=0.4533293391282416, test accuracy=0.7840000000000006

counter#803  epoch: 1, test mean loss=0.4477823536729508, test accuracy=0.7975000000000004

counter#804  epoch: 1, test mean loss=0.44684624208466767, test accuracy=0.8010000000000005

counter#805  epoch: 1, test mean loss=0.44384349100043885, test accuracy=0.8015000000000007

counter#806  epoch: 1, test mean loss=0.45035201773696054, test accuracy=0.7920000000000006

counter#807  epoch: 1, test mean loss=0.45164724829617553, test accuracy=0.7920000000000006

counter#808  epoch: 1, test mean loss=0.45596857683510394, test accuracy=0.7825000000000008

counter#809  epoch: 1, test mean loss=0.44739908521477756, test accuracy=0.7955000000000004

counter#810  epoch: 1, test mean loss=0.44825204137287705, test accuracy=0.7945000000000004

counter#811  epoch: 1, test mean loss=0.4517290092573117, test accuracy=0.7875000000000004

counter#812  epoch: 1, test mean loss=0.46424034133836933, test accuracy=0.7770000000000005

counter#813  epoch: 1, test mean loss=0.46108958191067645, test accuracy=0.7765000000000003

counter#814  epoch: 1, test mean loss=0.45074489757649344, test accuracy=0.7900000000000006

counter#815  epoch: 1, test mean loss=0.4488133498369723, test accuracy=0.7945000000000007

counter#816  epoch: 1, test mean loss=0.4467399937201887, test accuracy=0.7995000000000009

counter#817  epoch: 1, test mean loss=0.451143336014744, test accuracy=0.7895000000000006

counter#818  epoch: 1, test mean loss=0.45331098367657346, test accuracy=0.7860000000000005

counter#819  epoch: 1, test mean loss=0.45350112643757695, test accuracy=0.7885000000000006

counter#820  epoch: 1, test mean loss=0.4511156740086297, test accuracy=0.7890000000000006

counter#821  epoch: 1, test mean loss=0.45191759372398976, test accuracy=0.7885000000000002

counter#822  epoch: 1, test mean loss=0.47093336245653633, test accuracy=0.7710000000000002

counter#823  epoch: 1, test mean loss=0.45048627941682606, test accuracy=0.787

counter#824  epoch: 1, test mean loss=0.45109412307044344, test accuracy=0.7875000000000001

counter#825  epoch: 1, test mean loss=0.44746824119611567, test accuracy=0.791

counter#826  epoch: 1, test mean loss=0.4471277582644701, test accuracy=0.7915000000000001

counter#827  epoch: 1, test mean loss=0.44815805026932304, test accuracy=0.7870000000000001

counter#828  epoch: 1, test mean loss=0.44902559015733795, test accuracy=0.785

counter#829  epoch: 1, test mean loss=0.4541892349231668, test accuracy=0.7870000000000004

counter#830  epoch: 1, test mean loss=0.4543402405425703, test accuracy=0.7870000000000005

counter#831  epoch: 1, test mean loss=0.4434042706130459, test accuracy=0.7950000000000004

counter#832  epoch: 1, test mean loss=0.4420280609932852, test accuracy=0.7945000000000003

counter#833  epoch: 1, test mean loss=0.4423978059535644, test accuracy=0.7985000000000005

counter#834  epoch: 1, test mean loss=0.4415213926899996, test accuracy=0.7955000000000001

counter#835  epoch: 1, test mean loss=0.440689876317387, test accuracy=0.7985000000000002

counter#836  epoch: 1, test mean loss=0.44136947163727724, test accuracy=0.7990000000000005

counter#837  epoch: 1, test mean loss=0.44119778628998646, test accuracy=0.7980000000000004

counter#838  epoch: 1, test mean loss=0.4414136828416397, test accuracy=0.7990000000000002

counter#839  epoch: 1, test mean loss=0.440732260509991, test accuracy=0.8005000000000004

counter#840  epoch: 1, test mean loss=0.4399154475433764, test accuracy=0.8010000000000004

counter#841  epoch: 1, test mean loss=0.44017964648670066, test accuracy=0.8015000000000008

counter#842  epoch: 1, test mean loss=0.4411915920571829, test accuracy=0.7980000000000004

counter#843  epoch: 1, test mean loss=0.4398154195640271, test accuracy=0.7980000000000004

counter#844  epoch: 1, test mean loss=0.44331971855659336, test accuracy=0.7975000000000001

counter#845  epoch: 1, test mean loss=0.43975780953182986, test accuracy=0.7985000000000002

counter#846  epoch: 1, test mean loss=0.43988351405644044, test accuracy=0.7990000000000005

counter#847  epoch: 1, test mean loss=0.43890534642024565, test accuracy=0.7985000000000001

counter#848  epoch: 1, test mean loss=0.4398580318800147, test accuracy=0.7975000000000003

counter#849  epoch: 1, test mean loss=0.43918378880125686, test accuracy=0.8010000000000004

counter#850  epoch: 1, test mean loss=0.44008114480058425, test accuracy=0.8005000000000005

counter#851  epoch: 1, test mean loss=0.4399688656580282, test accuracy=0.797

counter#852  epoch: 1, test mean loss=0.4396868867913816, test accuracy=0.8040000000000005

counter#853  epoch: 1, test mean loss=0.44394669898825767, test accuracy=0.7990000000000004

counter#854  epoch: 1, test mean loss=0.44416849995189267, test accuracy=0.7985000000000002

counter#855  epoch: 1, test mean loss=0.44070993462143243, test accuracy=0.8005000000000005

counter#856  epoch: 1, test mean loss=0.44084076458383725, test accuracy=0.7959999999999997

counter#857  epoch: 1, test mean loss=0.4435709362828913, test accuracy=0.7925

counter#858  epoch: 1, test mean loss=0.44502319483305736, test accuracy=0.7899999999999998

counter#859  epoch: 1, test mean loss=0.44044416014507837, test accuracy=0.7965000000000001

counter#860  epoch: 1, test mean loss=0.44049419462230327, test accuracy=0.8015000000000002

counter#861  epoch: 1, test mean loss=0.4420195206262357, test accuracy=0.7944999999999999

counter#862  epoch: 1, test mean loss=0.4451562696120493, test accuracy=0.7914999999999996

counter#863  epoch: 1, test mean loss=0.4507243805390613, test accuracy=0.7855000000000001

counter#864  epoch: 1, test mean loss=0.45174422943824133, test accuracy=0.7855

counter#865  epoch: 1, test mean loss=0.45280483952157796, test accuracy=0.7839999999999999

counter#866  epoch: 1, test mean loss=0.44864326496004603, test accuracy=0.7884999999999998

counter#867  epoch: 1, test mean loss=0.4434686141600093, test accuracy=0.7939999999999998

counter#868  epoch: 1, test mean loss=0.43978087329079074, test accuracy=0.8010000000000003

counter#869  epoch: 1, test mean loss=0.44028853307277194, test accuracy=0.7979999999999999

counter#870  epoch: 1, test mean loss=0.4403382082581961, test accuracy=0.8015000000000004

counter#871  epoch: 1, test mean loss=0.44048587449138205, test accuracy=0.8010000000000006

counter#872  epoch: 1, test mean loss=0.4426939935586389, test accuracy=0.8015000000000004

counter#873  epoch: 1, test mean loss=0.4418782194462758, test accuracy=0.8015000000000007

counter#874  epoch: 1, test mean loss=0.4455919096935177, test accuracy=0.7995

counter#875  epoch: 1, test mean loss=0.44375928352646704, test accuracy=0.7970000000000002

counter#876  epoch: 1, test mean loss=0.44846181273136115, test accuracy=0.7960000000000004

counter#877  epoch: 1, test mean loss=0.4440861058274211, test accuracy=0.7965000000000003

counter#878  epoch: 1, test mean loss=0.44358624119426204, test accuracy=0.7975000000000001

counter#879  epoch: 1, test mean loss=0.43938511737063146, test accuracy=0.8040000000000005

counter#880  epoch: 1, test mean loss=0.44247832108695745, test accuracy=0.8020000000000005

counter#881  epoch: 1, test mean loss=0.4433017752028907, test accuracy=0.8015000000000007

counter#882  epoch: 1, test mean loss=0.4424032664249388, test accuracy=0.8010000000000005

counter#883  epoch: 1, test mean loss=0.44776031770958874, test accuracy=0.8005000000000001

counter#884  epoch: 1, test mean loss=0.44474783514814165, test accuracy=0.8020000000000003

counter#885  epoch: 1, test mean loss=0.4458421829950672, test accuracy=0.8025000000000003

counter#886  epoch: 1, test mean loss=0.4448896383961627, test accuracy=0.8035000000000005

counter#887  epoch: 1, test mean loss=0.4453509409956499, test accuracy=0.8040000000000005

counter#888  epoch: 1, test mean loss=0.4439554223126273, test accuracy=0.8045000000000005

counter#889  epoch: 1, test mean loss=0.4458108430883576, test accuracy=0.8060000000000004

counter#890  epoch: 1, test mean loss=0.44709764599835233, test accuracy=0.8035000000000005

counter#891  epoch: 1, test mean loss=0.44729795686182333, test accuracy=0.8050000000000006

counter#892  epoch: 1, test mean loss=0.4551338225974956, test accuracy=0.7990000000000002

counter#893  epoch: 1, test mean loss=0.4535183910100635, test accuracy=0.7985000000000003

counter#894  epoch: 1, test mean loss=0.4610372429791336, test accuracy=0.7870000000000004

counter#895  epoch: 1, test mean loss=0.4550147605324994, test accuracy=0.7975000000000003

counter#896  epoch: 1, test mean loss=0.4504223508384205, test accuracy=0.7975000000000001

counter#897  epoch: 1, test mean loss=0.44824301135581296, test accuracy=0.7990000000000002

counter#898  epoch: 1, test mean loss=0.45397290497463444, test accuracy=0.7945000000000002

counter#899  epoch: 1, test mean loss=0.4538248102800365, test accuracy=0.7935000000000002

counter#900  epoch: 1, test mean loss=0.4611965873576249, test accuracy=0.7870000000000004

counter#901  epoch: 1, test mean loss=0.46020211502976727, test accuracy=0.7880000000000006

counter#902  epoch: 1, test mean loss=0.4613340524016812, test accuracy=0.7875000000000009

counter#903  epoch: 1, test mean loss=0.4692522132295443, test accuracy=0.7805000000000004

counter#904  epoch: 1, test mean loss=0.46903755228700433, test accuracy=0.7810000000000005

counter#905  epoch: 1, test mean loss=0.4619378802334907, test accuracy=0.7835000000000006

counter#906  epoch: 1, test mean loss=0.46293193667871596, test accuracy=0.7820000000000001

counter#907  epoch: 1, test mean loss=0.459189208200428, test accuracy=0.786

counter#908  epoch: 1, test mean loss=0.47508591778391834, test accuracy=0.7725000000000005

counter#909  epoch: 1, test mean loss=0.4773360466245025, test accuracy=0.7675000000000004

counter#910  epoch: 1, test mean loss=0.4764352645443688, test accuracy=0.7700000000000005

counter#911  epoch: 1, test mean loss=0.4776551573835101, test accuracy=0.7670000000000005

counter#912  epoch: 1, test mean loss=0.46488310383378256, test accuracy=0.784

counter#913  epoch: 1, test mean loss=0.47730146450020705, test accuracy=0.7680000000000002

counter#914  epoch: 1, test mean loss=0.4755716159403625, test accuracy=0.7695000000000002

counter#915  epoch: 1, test mean loss=0.47372931937484486, test accuracy=0.7725000000000004

counter#916  epoch: 1, test mean loss=0.475303995668965, test accuracy=0.7705000000000004

counter#917  epoch: 1, test mean loss=0.46961140417581154, test accuracy=0.7795000000000004

counter#918  epoch: 1, test mean loss=0.4716559385156562, test accuracy=0.7750000000000005

counter#919  epoch: 1, test mean loss=0.46322435506171955, test accuracy=0.7845

counter#920  epoch: 1, test mean loss=0.4594467912169482, test accuracy=0.7895000000000003

counter#921  epoch: 1, test mean loss=0.45540553905629266, test accuracy=0.7890000000000001

counter#922  epoch: 1, test mean loss=0.46007105140387516, test accuracy=0.7885000000000004

counter#923  epoch: 1, test mean loss=0.45310717611553236, test accuracy=0.7930000000000003

counter#924  epoch: 1, test mean loss=0.45031820006796963, test accuracy=0.8005000000000001

counter#925  epoch: 1, test mean loss=0.4495430501151937, test accuracy=0.8000000000000003

counter#926  epoch: 1, test mean loss=0.44859730109460455, test accuracy=0.7975000000000001

counter#927  epoch: 1, test mean loss=0.4478697058487209, test accuracy=0.7975

counter#928  epoch: 1, test mean loss=0.4472006931472468, test accuracy=0.7994999999999999

counter#929  epoch: 1, test mean loss=0.4477669723796205, test accuracy=0.7955

counter#930  epoch: 1, test mean loss=0.4476625400743157, test accuracy=0.7914999999999999

counter#931  epoch: 1, test mean loss=0.4471858221314629, test accuracy=0.7939999999999999

counter#932  epoch: 1, test mean loss=0.4490295897097025, test accuracy=0.7889999999999996

counter#933  epoch: 1, test mean loss=0.44736503131401906, test accuracy=0.7929999999999998

counter#934  epoch: 1, test mean loss=0.44660220430011305, test accuracy=0.7944999999999999

counter#935  epoch: 1, test mean loss=0.4469639147766548, test accuracy=0.7919999999999999

counter#936  epoch: 1, test mean loss=0.447332639237104, test accuracy=0.7939999999999999

counter#937  epoch: 1, test mean loss=0.446366033194381, test accuracy=0.7929999999999999

counter#938  epoch: 1, test mean loss=0.44577233318589116, test accuracy=0.7909999999999999

counter#939  epoch: 1, test mean loss=0.4458246377240362, test accuracy=0.7909999999999998

counter#940  epoch: 1, test mean loss=0.44529339095835724, test accuracy=0.7919999999999999

counter#941  epoch: 1, test mean loss=0.4451121173061701, test accuracy=0.7944999999999999

counter#942  epoch: 1, test mean loss=0.44482106568380475, test accuracy=0.7959999999999999

counter#943  epoch: 1, test mean loss=0.44411813205638495, test accuracy=0.797

counter#944  epoch: 1, test mean loss=0.44355335944196406, test accuracy=0.797

counter#945  epoch: 1, test mean loss=0.44396334718394115, test accuracy=0.7975000000000003

counter#946  epoch: 1, test mean loss=0.4458953038355001, test accuracy=0.7970000000000003

counter#947  epoch: 1, test mean loss=0.44451043416128905, test accuracy=0.797

counter#948  epoch: 1, test mean loss=0.44597242829070183, test accuracy=0.7980000000000002

counter#949  epoch: 1, test mean loss=0.4453992104087777, test accuracy=0.8000000000000003

counter#950  epoch: 1, test mean loss=0.4448808913414454, test accuracy=0.8005000000000002

counter#951  epoch: 1, test mean loss=0.44890141169484754, test accuracy=0.7990000000000006

counter#952  epoch: 1, test mean loss=0.44844599579239414, test accuracy=0.7990000000000006

counter#953  epoch: 1, test mean loss=0.44940883543903337, test accuracy=0.7990000000000004

counter#954  epoch: 1, test mean loss=0.44753617296748865, test accuracy=0.7985000000000003

counter#955  epoch: 1, test mean loss=0.44619916755778044, test accuracy=0.8005000000000004

counter#956  epoch: 1, test mean loss=0.4435026405176785, test accuracy=0.7975000000000001

counter#957  epoch: 1, test mean loss=0.44236292059460247, test accuracy=0.797

counter#958  epoch: 1, test mean loss=0.4426507747413808, test accuracy=0.7954999999999999

counter#959  epoch: 1, test mean loss=0.4417391341837699, test accuracy=0.7954999999999999

counter#960  epoch: 1, test mean loss=0.4413747946461487, test accuracy=0.7999999999999998

counter#961  epoch: 1, test mean loss=0.44070653605808446, test accuracy=0.7985

counter#962  epoch: 1, test mean loss=0.44307516111209083, test accuracy=0.7995000000000003

counter#963  epoch: 1, test mean loss=0.44090507286708913, test accuracy=0.7965000000000002

counter#964  epoch: 1, test mean loss=0.4422227900869039, test accuracy=0.7975000000000003

counter#965  epoch: 1, test mean loss=0.44178101227308203, test accuracy=0.7995000000000003

counter#966  epoch: 1, test mean loss=0.4412459653973871, test accuracy=0.7985000000000002

counter#967  epoch: 1, test mean loss=0.4407973982075209, test accuracy=0.7950000000000003

counter#968  epoch: 1, test mean loss=0.4417183194291385, test accuracy=0.7990000000000002

counter#969  epoch: 1, test mean loss=0.4411812596955322, test accuracy=0.7949999999999997

counter#970  epoch: 1, test mean loss=0.44041789487906846, test accuracy=0.7955

counter#971  epoch: 1, test mean loss=0.4409247687389627, test accuracy=0.7994999999999999

counter#972  epoch: 1, test mean loss=0.4410772426856806, test accuracy=0.7990000000000002

counter#973  epoch: 1, test mean loss=0.4409822903711593, test accuracy=0.7959999999999998

counter#974  epoch: 1, test mean loss=0.44159778533498667, test accuracy=0.7950000000000002

counter#975  epoch: 1, test mean loss=0.44140080581414537, test accuracy=0.7970000000000003

counter#976  epoch: 1, test mean loss=0.44072979465632933, test accuracy=0.795

counter#977  epoch: 1, test mean loss=0.4411645577443576, test accuracy=0.7955

counter#978  epoch: 1, test mean loss=0.4430041318121816, test accuracy=0.7914999999999999

counter#979  epoch: 1, test mean loss=0.4433748393909997, test accuracy=0.7904999999999999

counter#980  epoch: 1, test mean loss=0.4471959535663947, test accuracy=0.787

counter#981  epoch: 1, test mean loss=0.449708942901775, test accuracy=0.787

counter#982  epoch: 1, test mean loss=0.44661891528944186, test accuracy=0.7874999999999999

counter#983  epoch: 1, test mean loss=0.44946102217677997, test accuracy=0.787

counter#984  epoch: 1, test mean loss=0.4467372213289999, test accuracy=0.7864999999999999

counter#985  epoch: 1, test mean loss=0.4458441442173386, test accuracy=0.7879999999999998

counter#986  epoch: 1, test mean loss=0.4437752479552068, test accuracy=0.7899999999999996

counter#987  epoch: 1, test mean loss=0.4413655564299953, test accuracy=0.795

counter#988  epoch: 1, test mean loss=0.4436263724532254, test accuracy=0.7914999999999996

counter#989  epoch: 1, test mean loss=0.4486618744537542, test accuracy=0.7894999999999999

counter#990  epoch: 1, test mean loss=0.44419683878210714, test accuracy=0.7899999999999997

counter#991  epoch: 1, test mean loss=0.442153863416467, test accuracy=0.7945

counter#992  epoch: 1, test mean loss=0.441588106879806, test accuracy=0.7925

counter#993  epoch: 1, test mean loss=0.4423806337808137, test accuracy=0.7945

counter#994  epoch: 1, test mean loss=0.4413372402007962, test accuracy=0.7939999999999999

counter#995  epoch: 1, test mean loss=0.4410301982768808, test accuracy=0.794

counter#996  epoch: 1, test mean loss=0.44073510127176724, test accuracy=0.7925

counter#997  epoch: 1, test mean loss=0.4409241109510733, test accuracy=0.7959999999999999

counter#998  epoch: 1, test mean loss=0.4405853208578261, test accuracy=0.7955

counter#999  epoch: 1, test mean loss=0.4409643151755149, test accuracy=0.796

counter#1000  epoch: 1, test mean loss=0.4422379827387436, test accuracy=0.7935000000000001

counter#1001  epoch: 1, test mean loss=0.4429805427062273, test accuracy=0.7940000000000004

counter#1002  epoch: 1, test mean loss=0.44728272320881496, test accuracy=0.7980000000000007

counter#1003  epoch: 1, test mean loss=0.4501507579749595, test accuracy=0.7965000000000007

counter#1004  epoch: 1, test mean loss=0.4544726180496307, test accuracy=0.7945000000000007

counter#1005  epoch: 1, test mean loss=0.44829993554009334, test accuracy=0.7945000000000004

counter#1006  epoch: 1, test mean loss=0.45727590254335865, test accuracy=0.7910000000000005

counter#1007  epoch: 1, test mean loss=0.4535517099503842, test accuracy=0.7940000000000006

counter#1008  epoch: 1, test mean loss=0.44940088275855444, test accuracy=0.7970000000000007

counter#1009  epoch: 1, test mean loss=0.44833230007168773, test accuracy=0.7960000000000009

counter#1010  epoch: 1, test mean loss=0.4523988123312755, test accuracy=0.7980000000000008

counter#1011  epoch: 1, test mean loss=0.45412324266269605, test accuracy=0.7985000000000007

counter#1012  epoch: 1, test mean loss=0.4526542598986187, test accuracy=0.7985000000000008

counter#1013  epoch: 1, test mean loss=0.45324667175623157, test accuracy=0.7985000000000005

counter#1014  epoch: 1, test mean loss=0.45361003772923053, test accuracy=0.7970000000000009

counter#1015  epoch: 1, test mean loss=0.4557967429004013, test accuracy=0.7940000000000006

counter#1016  epoch: 1, test mean loss=0.45838925795284163, test accuracy=0.7910000000000007

counter#1017  epoch: 1, test mean loss=0.4618612266611203, test accuracy=0.7850000000000007

counter#1018  epoch: 1, test mean loss=0.4570929209631844, test accuracy=0.7915000000000006

counter#1019  epoch: 1, test mean loss=0.4449942786539547, test accuracy=0.7975000000000005

counter#1020  epoch: 1, test mean loss=0.4401807802274943, test accuracy=0.7950000000000004

counter#1021  epoch: 1, test mean loss=0.44451338367881815, test accuracy=0.7990000000000008

counter#1022  epoch: 1, test mean loss=0.44837936541574813, test accuracy=0.8050000000000006

counter#1023  epoch: 1, test mean loss=0.46083684234210603, test accuracy=0.7910000000000007

counter#1024  epoch: 1, test mean loss=0.47114835143065853, test accuracy=0.7780000000000008

counter#1025  epoch: 1, test mean loss=0.46411751145312996, test accuracy=0.7870000000000006

counter#1026  epoch: 1, test mean loss=0.4519569752674354, test accuracy=0.8035000000000005

counter#1027  epoch: 1, test mean loss=0.4461176215081783, test accuracy=0.8010000000000009

counter#1028  epoch: 1, test mean loss=0.43973179681150654, test accuracy=0.7975000000000005

counter#1029  epoch: 1, test mean loss=0.44064300174243143, test accuracy=0.7940000000000005

counter#1030  epoch: 1, test mean loss=0.4406363602723347, test accuracy=0.7950000000000004

counter#1031  epoch: 1, test mean loss=0.43972378459409867, test accuracy=0.7965000000000004

counter#1032  epoch: 1, test mean loss=0.43949735678290613, test accuracy=0.7930000000000003

counter#1033  epoch: 1, test mean loss=0.4389969077330683, test accuracy=0.7940000000000005

counter#1034  epoch: 1, test mean loss=0.43862801742336527, test accuracy=0.7940000000000004

counter#1035  epoch: 1, test mean loss=0.4383515719735866, test accuracy=0.7965000000000004

counter#1036  epoch: 1, test mean loss=0.43946690584165843, test accuracy=0.8030000000000009

counter#1037  epoch: 1, test mean loss=0.4377456913677977, test accuracy=0.7985000000000005

counter#1038  epoch: 1, test mean loss=0.4433761682642963, test accuracy=0.8050000000000008

counter#1039  epoch: 1, test mean loss=0.44790588710078405, test accuracy=0.8030000000000007

counter#1040  epoch: 1, test mean loss=0.43948602459681024, test accuracy=0.800000000000001

counter#1041  epoch: 1, test mean loss=0.43722495374230796, test accuracy=0.7975000000000005

counter#1042  epoch: 1, test mean loss=0.44055682952359115, test accuracy=0.8030000000000007

counter#1043  epoch: 1, test mean loss=0.4380098387756338, test accuracy=0.7975000000000009

counter#1044  epoch: 1, test mean loss=0.43776878562350197, test accuracy=0.798500000000001

counter#1045  epoch: 1, test mean loss=0.44239516800913514, test accuracy=0.8035000000000011

counter#1046  epoch: 1, test mean loss=0.4426060158021315, test accuracy=0.802000000000001

counter#1047  epoch: 1, test mean loss=0.4416647887047933, test accuracy=0.8035000000000008

counter#1048  epoch: 1, test mean loss=0.4374878924167608, test accuracy=0.8000000000000008

counter#1049  epoch: 1, test mean loss=0.4381013880613969, test accuracy=0.7990000000000006

counter#1050  epoch: 1, test mean loss=0.4412116214652485, test accuracy=0.8010000000000006

counter#1051  epoch: 1, test mean loss=0.4404915441468705, test accuracy=0.8005000000000009

counter#1052  epoch: 1, test mean loss=0.4426527616866707, test accuracy=0.8025000000000007

counter#1053  epoch: 1, test mean loss=0.4414480912154891, test accuracy=0.8010000000000008

counter#1054  epoch: 1, test mean loss=0.44075329116799766, test accuracy=0.8030000000000008

counter#1055  epoch: 1, test mean loss=0.4472455846016129, test accuracy=0.8035000000000003

counter#1056  epoch: 1, test mean loss=0.4468998223955162, test accuracy=0.8050000000000004

counter#1057  epoch: 1, test mean loss=0.44297395265344774, test accuracy=0.8040000000000009

counter#1058  epoch: 1, test mean loss=0.44737302753516844, test accuracy=0.8045000000000005

counter#1059  epoch: 1, test mean loss=0.4415664125924851, test accuracy=0.8030000000000009

counter#1060  epoch: 1, test mean loss=0.43802663295997235, test accuracy=0.7990000000000008

counter#1061  epoch: 1, test mean loss=0.43907616321219706, test accuracy=0.7930000000000004

counter#1062  epoch: 1, test mean loss=0.43741606340812317, test accuracy=0.7980000000000005

counter#1063  epoch: 1, test mean loss=0.4374321807705482, test accuracy=0.7985000000000005

counter#1064  epoch: 1, test mean loss=0.43850029856590295, test accuracy=0.7940000000000004

counter#1065  epoch: 1, test mean loss=0.43812333155463906, test accuracy=0.7940000000000006

counter#1066  epoch: 1, test mean loss=0.4387469046582747, test accuracy=0.7990000000000009

counter#1067  epoch: 1, test mean loss=0.43819598086758715, test accuracy=0.7965000000000007

counter#1068  epoch: 1, test mean loss=0.4387182082195619, test accuracy=0.7990000000000008

counter#1069  epoch: 1, test mean loss=0.4401493734865868, test accuracy=0.8025000000000004

counter#1070  epoch: 1, test mean loss=0.4416543421870997, test accuracy=0.8030000000000007

counter#1071  epoch: 1, test mean loss=0.4394461286947556, test accuracy=0.8015000000000003

counter#1072  epoch: 1, test mean loss=0.43844817059735336, test accuracy=0.7970000000000005

counter#1073  epoch: 1, test mean loss=0.4383835007805913, test accuracy=0.7955000000000007

counter#1074  epoch: 1, test mean loss=0.43899444120104986, test accuracy=0.7945000000000007

counter#1075  epoch: 1, test mean loss=0.4391173571451466, test accuracy=0.7965000000000008

counter#1076  epoch: 1, test mean loss=0.4407522777527559, test accuracy=0.8040000000000007

counter#1077  epoch: 1, test mean loss=0.44034883211469733, test accuracy=0.8015000000000008

counter#1078  epoch: 1, test mean loss=0.44951109595413624, test accuracy=0.7995000000000005

counter#1079  epoch: 1, test mean loss=0.4454934904668732, test accuracy=0.8005000000000005

counter#1080  epoch: 1, test mean loss=0.44782856201124593, test accuracy=0.7985000000000007

counter#1081  epoch: 1, test mean loss=0.4473382819132797, test accuracy=0.7975000000000004

counter#1082  epoch: 1, test mean loss=0.4494724099837126, test accuracy=0.7960000000000005

counter#1083  epoch: 1, test mean loss=0.4454711664356102, test accuracy=0.7990000000000006

counter#1084  epoch: 1, test mean loss=0.44704917784757187, test accuracy=0.7970000000000005

counter#1085  epoch: 1, test mean loss=0.45316207454026836, test accuracy=0.7950000000000006

counter#1086  epoch: 1, test mean loss=0.4446018622390927, test accuracy=0.8005000000000009

counter#1087  epoch: 1, test mean loss=0.44015110158935117, test accuracy=0.802000000000001

counter#1088  epoch: 1, test mean loss=0.43710637429329585, test accuracy=0.8010000000000008

counter#1089  epoch: 1, test mean loss=0.4369383398588824, test accuracy=0.8035000000000007

counter#1090  epoch: 1, test mean loss=0.44017343156842403, test accuracy=0.8015000000000007

counter#1091  epoch: 1, test mean loss=0.43905745525412704, test accuracy=0.8030000000000008

counter#1092  epoch: 1, test mean loss=0.44352452735900466, test accuracy=0.8020000000000007

