C:\Users\Ranit\Anaconda3\python.exe E:/StudyFIle/MLProject/CharSCNN-theano-1/charscnn.py
C:\Users\Ranit\Anaconda3\lib\site-packages\sklearn\cross_validation.py:44: DeprecationWarning: This module was deprecated in version 0.18 in favor of the model_selection module into which all the refactored classes and functions are moved. Also note that the interface of the new CV iterators are different from that of this module. This module will be removed in 0.20.
  "This module will be removed in 0.20.", DeprecationWarning)
counter#70  epoch: 1, test mean loss=0.6867156548997474, test accuracy=0.5035000000000003

counter#71  epoch: 1, test mean loss=0.6863202957712055, test accuracy=0.5035000000000003

counter#72  epoch: 1, test mean loss=0.6938317228349166, test accuracy=0.5035000000000003

counter#73  epoch: 1, test mean loss=0.692177067578907, test accuracy=0.5035000000000003

counter#74  epoch: 1, test mean loss=0.6912975855374888, test accuracy=0.5035000000000003

counter#75  epoch: 1, test mean loss=0.6829807391561425, test accuracy=0.5035000000000003

counter#76  epoch: 1, test mean loss=0.683945789802857, test accuracy=0.5035000000000003

counter#77  epoch: 1, test mean loss=0.6799112774340963, test accuracy=0.5075000000000002

counter#78  epoch: 1, test mean loss=0.6792716331105784, test accuracy=0.5105000000000003

counter#79  epoch: 1, test mean loss=0.6818577100589883, test accuracy=0.5035000000000003

counter#80  epoch: 1, test mean loss=0.6781809248092837, test accuracy=0.5140000000000001

counter#81  epoch: 1, test mean loss=0.6804236639675081, test accuracy=0.5040000000000002

counter#82  epoch: 1, test mean loss=0.674473920448916, test accuracy=0.5484999999999999

counter#83  epoch: 1, test mean loss=0.6672609238189557, test accuracy=0.6085

counter#84  epoch: 1, test mean loss=0.6723126326974784, test accuracy=0.5610000000000003

counter#85  epoch: 1, test mean loss=0.6678087439350654, test accuracy=0.6020000000000003

counter#86  epoch: 1, test mean loss=0.6626239826086558, test accuracy=0.6125

counter#87  epoch: 1, test mean loss=0.6615799330897525, test accuracy=0.612

counter#88  epoch: 1, test mean loss=0.6555841943652119, test accuracy=0.6379999999999998

counter#89  epoch: 1, test mean loss=0.6481899313658422, test accuracy=0.6845000000000004

counter#90  epoch: 1, test mean loss=0.6417817338573183, test accuracy=0.6975000000000002

counter#91  epoch: 1, test mean loss=0.6427019426429793, test accuracy=0.6830000000000004

counter#92  epoch: 1, test mean loss=0.6383398758897971, test accuracy=0.6945

counter#93  epoch: 1, test mean loss=0.6339762063211143, test accuracy=0.687

counter#94  epoch: 1, test mean loss=0.6305399565312154, test accuracy=0.7060000000000005

counter#95  epoch: 1, test mean loss=0.6311874304915749, test accuracy=0.6970000000000001

counter#96  epoch: 1, test mean loss=0.6226920598000192, test accuracy=0.6965000000000002

counter#97  epoch: 1, test mean loss=0.6175794289366789, test accuracy=0.7035000000000003

counter#98  epoch: 1, test mean loss=0.6118628362276904, test accuracy=0.6970000000000002

counter#99  epoch: 1, test mean loss=0.6191947191652234, test accuracy=0.6895000000000006

counter#100  epoch: 1, test mean loss=0.6062978212477749, test accuracy=0.6970000000000002

counter#101  epoch: 1, test mean loss=0.6111622584911937, test accuracy=0.6935000000000002

counter#102  epoch: 1, test mean loss=0.6090575600273174, test accuracy=0.6940000000000002

counter#103  epoch: 1, test mean loss=0.599084662350771, test accuracy=0.7020000000000002

counter#104  epoch: 1, test mean loss=0.5935719786052209, test accuracy=0.7020000000000002

counter#105  epoch: 1, test mean loss=0.5974863000235624, test accuracy=0.6975000000000002

counter#106  epoch: 1, test mean loss=0.5838787825472669, test accuracy=0.7010000000000001

counter#107  epoch: 1, test mean loss=0.5762511619949057, test accuracy=0.7069999999999999

counter#108  epoch: 1, test mean loss=0.5730945772523889, test accuracy=0.7049999999999997

counter#109  epoch: 1, test mean loss=0.5693226557581527, test accuracy=0.7039999999999996

counter#110  epoch: 1, test mean loss=0.5653938309015577, test accuracy=0.7089999999999995

counter#111  epoch: 1, test mean loss=0.566121806556691, test accuracy=0.7039999999999996

counter#112  epoch: 1, test mean loss=0.5591412151949942, test accuracy=0.7074999999999992

counter#113  epoch: 1, test mean loss=0.5565130526453461, test accuracy=0.7064999999999994

counter#114  epoch: 1, test mean loss=0.563195458712164, test accuracy=0.7124999999999995

counter#115  epoch: 1, test mean loss=0.5618434062136294, test accuracy=0.7069999999999992

counter#116  epoch: 1, test mean loss=0.555784271553436, test accuracy=0.7099999999999992

counter#117  epoch: 1, test mean loss=0.5522704110340398, test accuracy=0.7054999999999993

counter#118  epoch: 1, test mean loss=0.5505897616770685, test accuracy=0.7069999999999994

counter#119  epoch: 1, test mean loss=0.5569514088412849, test accuracy=0.6839999999999996

counter#120  epoch: 1, test mean loss=0.5589274090342019, test accuracy=0.6929999999999997

counter#121  epoch: 1, test mean loss=0.5545520104291595, test accuracy=0.6949999999999998

counter#122  epoch: 1, test mean loss=0.5546414367468017, test accuracy=0.6944999999999996

counter#123  epoch: 1, test mean loss=0.5523395919028219, test accuracy=0.7089999999999997

counter#124  epoch: 1, test mean loss=0.5536480789718383, test accuracy=0.7080000000000001

counter#125  epoch: 1, test mean loss=0.5541811805023213, test accuracy=0.7065

counter#126  epoch: 1, test mean loss=0.5510439081475973, test accuracy=0.705

counter#127  epoch: 1, test mean loss=0.5494441700758698, test accuracy=0.7084999999999999

counter#128  epoch: 1, test mean loss=0.5479999857500414, test accuracy=0.7069999999999999

